PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
Domari Gypsy,doma-ri gypsy,Egypt,440000,Domari,Islam - Sunni,31.209933,29.962397,1,Unengaged,Medium,Not Free,Very High,Very High,Level 3: Reconsider Travel,A005,C0278,102682,Domari,EGY,EG,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,EGY,domari gypsy
Domari Gypsy,doma-ri gypsy,Libya,43000,Domari,Islam - Sunni,32.8621,13.1393,1,Unengaged,Medium,Not Free,High,High,Level 4: Do Not Travel,A005,C0278,102682,Domari,LBY,LY,EG,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,LBY,domari gypsy
Dombi Dasa,dombi dasa,India,8500,Telugu,Hinduism,13.336683,77.112467,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111900,Dombidasari,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,dombi dasa
Dominica Deaf,domi-nica def,Dominica,750,Undetermined,Unknown,15.301,-61.388,0,Unengaged,Medium,Free,Low,Low,Level 1: Exercise Normal Precautions,A017,C0252,114916,Deaf,DMA,DO,,,,Deaf Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,DMA,domi-nica def
Dominican,domi-nica-n,Canada,24500,Spanish,Christianity - Roman Catholicism,43.65793,-79.392857,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0168,102692,"""Dominican"," mixed""",CAN,CA,,,,American Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CAN,domi-nican
Dominican,domi-nica-n,Guadeloupe,475,Spanish,Christianity - Folk Catholicism,16.25,-61.5818,5,Unengaged,Medium,Free,Moderate,High,Caution,A007,C0168,102692,"""Dominican"," mixed""",GLP,GP,DR,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,GLP,domi-nican
Dominican,domi-nica-n,Haiti,47000,Spanish,Christianity - Folk Catholicism,18.521599,-72.281822,4,Unengaged,Strenuous,Not Free,Low,Moderate,Level 4: Do Not Travel,A007,C0168,102692,"""Dominican"," mixed""",HTI,HA,DR,,,American Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,HTI,domi-nican
Dompago,dom-pago,Benin,116000,Kabiyè,Ethnoreligion - Animism,9.40879,1.99545,1,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0087,102695,Dompago,BEN,BN,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,BEN,dom-pago
Dompago,dom-pago,Togo,24000,Lukpa,Ethnoreligion - Animism,9.629847,1.353528,6,Unengaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0087,102695,Dompago,TGO,TO,BN,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,TGO,dom-pago
Domu,domu,Papua New Guinea,2000,Domu,Christianity - Evangelical Protestant,-10.15101,148.45002,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102696,Domu,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,domu
Domung,domu-ng,Papua New Guinea,5700,Domung,Christianity - Evangelical Protestant,-5.81856,146.68152,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102697,Domung,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,domung
Dondo,dondo,Indonesia,17500,Dondo,Islam - Sunni,0.80348,120.70738,1,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0103,102701,Dondo,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IDN,dondo
"""Dong",dong,,China,1495000,Northern Dong,Ethnoreligion - Chinese Folk Religion,26.99443,109.20384,1,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0207,114042,"""Dong"," Northern""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""1",000,"000+""",Indigenous,CHN,dong nort-h-ern
Donyiro,don-yiro,Ethiopia,39000,Nyangatom,Christianity - Eastern Orthodox,5.349,35.8633,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A013,C0153,102710,Donyiro,ETH,ET,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,ETH,don-yiro
Donyiro,don-yiro,South Sudan,17000,Nyangatom,Ethnoreligion - Animism,5.3724,34.9117,1,Unengaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0153,102710,Donyiro,SSD,OD,ET,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,SSD,don-yiro
Dorio,dorio,Solomon Islands,4400,Dori’o,Christianity - Non-Evangelical Protestant,-9.11536,160.89663,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0197,102713,Dorio,SLB,BP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,SLB,dorio
Doromu,doro-mu,Papua New Guinea,2600,Doromu-Koki,Christianity - Evangelical Protestant,-9.56687,147.9855,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102715,Doromu,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,doromu
Dorro,dorro,Papua New Guinea,800,Namo,Christianity - Evangelical Protestant,-9.136459,141.926529,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102717,Dorro,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,dorro
Dorze,dorze,Ethiopia,60500,Dorze,Christianity - Eastern Orthodox,6.25237,37.55537,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0161,102718,Dorze,ETH,ET,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,ETH,dorze
Dosali,dosa-li,India,1600,Dogri,Hinduism,32.553363,76.125808,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111989,Dosali,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,dosali
Doupo,doupo,China,950,Nuosu,Ethnoreligion - Chinese Folk Religion,25.065341,102.35921,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114045,Doupo,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,doupo
Doura,doura,Papua New Guinea,3100,Toura (Papua New Guinea),Christianity - Evangelical Protestant,-9.10008,146.98836,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102725,Doura,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,doura
Dowaniya,dowa-niya,India,3300,Singpho,Buddhism - Folk,27.495214,95.256501,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0282,115491,Dowaniya,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,dowa-niya
Doya,doya,Bhutan,2400,Lhokpu,Ethnoreligion,26.91347,89.30994,1,Unengaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A012,C0282,113916,"""Lhop"," Doya""",BTN,BT,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,BTN,doya
Drung,drung,China,17500,Drung,Ethnoreligion,27.8633,98.3447,5,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,110266,Tulung,CHN,CH,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""10","000+""",Indigenous,CHN,drung
Druze,druze,Jordan,24000,South Levantine Arabic,Other - Druze,32.332163,36.501059,1,Unengaged,Medium,Not Free,High,High,Level 2: Exercise Increased Caution,A001,C0015,102733,Druze,JOR,JO,SY,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""10","000+""",Indigenous,JOR,druze
Druze,druze,Syria,117000,Levantine Arabic,Other - Druze,32.710795,36.571025,1,Unengaged,Strenuous,Not Free,Very High,Very High,Level 4: Do Not Travel,A001,C0015,102733,Druze,SYR,SY,,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""100","000+""",Indigenous,SYR,druze
Duau,duau,Papua New Guinea,10000,Duau,Christianity - Evangelical Protestant,-10.18696,151.21773,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102739,Duau,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,PNG,duau
Dubasiyin,duba-siyi-n,Sudan,138000,Sudanese Arabic,Islam - Sunni,14.937186,23.737246,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A001,C0019,102740,Dubasiyin,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,SDN,duba-siyin
Dubea,dubea,New Caledonia,1400,Drubea,Christianity - Roman Catholicism,-22.1234,166.3383,0,Unengaged,Medium,Free,Moderate,High,Level 1: Exercise Normal Precautions,A010,C0151,102741,Dubea,NCL,NC,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,NCL,dubea
Dubu,dubu,Indonesia,250,Indonesian,Christianity - Evangelical Protestant,-3.62591,140.76837,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,102743,Dubu,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,dubu
Dudhwala,dud-hwa-la,India,2800,Gujarati,Islam - Sunni,22.307161,73.181213,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,111998,Dudhwala,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,dudh-wala
Duduela,dudue-la,Papua New Guinea,1600,Uyajitaya,Christianity - Evangelical Protestant,-5.43119,145.64193,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102746,Duduela,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,dud-uela
Dujo,dujo,Colombia,45,Spanish,Ethnoreligion,2.8648,-75.2391,4,Unengaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0201,115188,Dujo,COL,CO,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,COL,dujo
Duke,duke,Solomon Islands,4200,Dughore,Christianity - Non-Evangelical Protestant,-8.0199,156.9558,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0197,102754,Duke,SLB,BP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,SLB,duke
Duke of York Islander,duke of york isla-nde-r,Papua New Guinea,22500,Ramoaaina,Christianity - Evangelical Protestant,-4.17306,152.45078,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102755,Duke of York Islander,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,PNG,duke of york isla-nder
Dulbu,dulbu,Nigeria,300,Hausa,Islam - Folk,10.2236,9.888,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102757,Dulbu,NGA,NI,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,NGA,dulbu
Dumaki,duma-ki,Pakistan,1200,Burushaski,Islam - Sunni,36.305293,74.730486,1,Unengaged,Strenuous,Partly Free,High,High,Level 3: Reconsider Travel,A012,C0321,102761,Dumaki,PAK,PK,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,PAK,dumaki
Dumbule,dum-bule,Cameroon,150,Mbule,Christianity - Roman Catholicism,4.4984,11.0856,0,Unengaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0271,102762,Dumbule,CMR,CM,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CMR,dum-bule
Dumpas,dum-pas,Malaysia,1600,Dumpas,Ethnoreligion,5.962838,117.346721,5,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,102765,Dumpas,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,dumpas
Dumun,dumun,Papua New Guinea,80,Dumun,Christianity - Evangelical Protestant,-5.55315,146.08223,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102766,Dumun,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,dumun
Duna,duna,Papua New Guinea,30000,Duna,Christianity - Evangelical Protestant,-5.41439,142.47498,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102767,Duna,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,PNG,duna
Dungan,dun-gan,Uzbekistan,2300,Dungan,Islam - Sunni,41.353986,69.385483,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A002,C0066,103902,Dungan,UZB,UZ,KG,,,Central Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,UZB,dungan
Duoluo,duo-luo,China,2100,Duoluo,Ethnoreligion,26.725216,106.05928,4,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0138,114046,Duoluo,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CHN,duoluo
Dura,dura,Nepal,8500,Nepali,Buddhism - Folk,28.160385,84.308562,1,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0311,112001,Dura,NPL,NP,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,NPL,dura
Duranmin,dura-nmi-n,Papua New Guinea,300,Asaba,Ethnoreligion - Animism,-4.971,141.929,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102770,Duranmin,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,dura-nmin
Durga Murga,durga murga,India,1200,Telugu,Hinduism,15.4559,75.008611,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112002,Durgamurgi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,durga murga
Duriankere,duria-nke-re,Indonesia,175,Indonesian,Christianity - Evangelical Protestant,-1.384,130.919,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,102774,Duriankere,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,duria-nkere
Dusner,dus-ner,Indonesia,80,Wamesa,Ethnoreligion,-2.7206,134.3793,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,102776,Dusner,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,dusner
Dusun,dusun,Brunei,10500,Kadazan Dusun,Islam - Sunni,4.9098,114.9033,1,Unengaged,Low,Not Free,High,Moderate,Level 1: Exercise Normal Precautions,A008,C0059,119483,Brunei Dusan,BRN,BX,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,BRN,dusun
Dusun -  Murut,dusun - murut,Malaysia,2500,Kadazan Dusun,Ethnoreligion - Animism,5.3317,116.1446,6,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,102786,Dusun-Murut,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,dusun - murut
Dusun Deyah,dusun deyah,Indonesia,36000,Dusun Deyah,Ethnoreligion - Animism,-1.95514,115.57806,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0037,102777,Dusun Deyah,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,dusun deyah
Dusun Malang,dusun mala-ng,Indonesia,5600,Dusun Malang,Ethnoreligion - Animism,-0.85277,115.39233,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0037,102778,Dusun Malang,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,dusun malang
Dusun Segama,dusun sega-ma,Malaysia,1100,Upper Kinabatangan,Ethnoreligion,5.1623,118.3792,6,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,102779,Dusun Segama,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,dusun segama
Dusun Witu,dusun witu,Indonesia,6400,Dusun Witu,Ethnoreligion - Animism,-1.57408,114.97946,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,102781,Dusun Witu,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,dusun witu
Dutch,dutch,Aruba,4300,Dutch,Christianity - Non-Evangelical Protestant,12.529,-70.041,1,Unengaged,Medium,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0079,102787,Dutch,ABW,AA,NL,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,ABW,dutch-
Dutch,dutch,Austria,3300,Dutch,Unaffiliated,48.222999,16.341837,4,Unengaged,Little,Free,Moderate,High,Level 1: Exercise Normal Precautions,A003,C0079,102787,Dutch,AUT,AU,NL,,,European Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,AUT,dutch-
Dutch,dutch,Curacao,12500,Dutch,Unaffiliated,12.22252,-69.02751,4,Unengaged,Medium,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0079,102787,Dutch,CUW,UC,NL,,,European Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CUW,dutch-
Dutch,dutch,Luxembourg,4200,Dutch,Christianity - Non-Evangelical Protestant,49.606121,6.112686,1,Unengaged,Little,Free,Low,Low,Level 1: Exercise Normal Precautions,A003,C0079,102787,Dutch,LUX,LU,NL,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,LUX,dutch-
Dutch,dutch,Sint Maarten,2000,Dutch,Unaffiliated,18.029952,-63.045651,4,Unengaged,Medium,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0079,102787,Dutch,SXM,NN,NL,,,European Peoples,,2,No Longer Unreached,"""<10","000""",Indigenous,SXM,dutch-
Dutch,dutch,Sweden,12000,Dutch,Unaffiliated,55.57641,12.975123,1,Unengaged,Little,Free,Low,Moderate,Level 2: Exercise Increased Caution,A003,C0079,102787,Dutch,SWE,SW,NL,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,SWE,dutch-
Dutch Caribbean,dutch cari-bbea-n,Canada,2300,Papiamentu,Christianity - Roman Catholicism,43.65793,-79.399057,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0337,100390,"""Antillean Creole"," Papiamentu""",CAN,CA,AA,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,CAN,dutch- cari-bbean
Duwai,duwai,Nigeria,20500,Duwai,Islam - Folk,12.887889,11.221669,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0062,102795,Duwai,NGA,NI,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,NGA,duwai
Dzalakha,dza-lak-ha,Bhutan,27000,Dzalakha,Buddhism - Tibetan,27.78546,91.37399,1,Unengaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A014,C0216,114868,Dzalakha,BTN,BT,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,BTN,dzal-akha
East Caribbean,east cari-bbea-n,Aruba,7100,English,Christianity - Folk Catholicism,12.520986,-70.02845,5,Unengaged,Medium,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0337,115839,Afro-Caribbean,ABW,AA,CA,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,ABW,east cari-bbean
East Indian,east indee--uh-n,Argentina,2700,Hindi,Hinduism,-34.524535,-58.543537,1,Unengaged,Low,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A012,C0336,102818,East Indian,ARG,AR,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,ARG,east indian
East Indian,east indee--uh-n,Belize,11000,Belize English Creole,Unaffiliated,17.499514,-88.194721,1,Unengaged,Medium,Free,Low,Low,Level 2: Exercise Increased Caution,A012,C0336,102818,East Indian,BLZ,BH,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,BLZ,east indian
East Indian,east indee--uh-n,Brazil,2400,Hindi,Hinduism,-23.55,-46.633333,1,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A012,C0336,102818,East Indian,BRA,BR,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,BRA,east indian
East Indian,east indee--uh-n,Chile,3800,Hindi,Hinduism,-53.166667,-70.933333,1,Unengaged,Low,Free,Low,Low,Level 2: Exercise Increased Caution,A012,C0336,102818,East Indian,CHL,CI,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,CHL,east indian
East Indian,east indee--uh-n,Grenada,4600,Hindi,Christianity - Non-Evangelical Protestant,12.0546,-61.751,1,Unengaged,Medium,Free,Low,Low,Level 1: Exercise Normal Precautions,A012,C0336,102818,East Indian,GRD,GJ,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,GRD,east indian
East Indian,east indee--uh-n,Guatemala,650,Spanish,Unaffiliated,15.825,-88.755,1,Unengaged,Strenuous,Partly Free,Low,Low,Level 3: Reconsider Travel,A012,C0336,102818,East Indian,GTM,GT,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,GTM,east indian
East Indian,east indee--uh-n,Saint Lucia,5500,Lesser Antillean French Creole,Unaffiliated,14.001,-60.987,1,Unengaged,Medium,Free,Low,Low,Level 1: Exercise Normal Precautions,A012,C0336,102818,East Indian,LCA,ST,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,LCA,east indian
East Indian,east indee--uh-n,Saint Vincent and the Grenadines,1500,Vincentian English Creole,Unaffiliated,13.162636,-61.231525,1,Unengaged,Medium,Free,Low,Low,Level 1: Exercise Normal Precautions,A012,C0336,102818,East Indian,VCT,VC,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,VCT,east indian
East Indian,east indee--uh-n,Venezuela,500,Hindi,Hinduism,10.5,-66.916667,1,Unengaged,Medium,Not Free,Moderate,Low,Level 4: Do Not Travel,A012,C0336,102818,East Indian,VEN,VE,TD,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,VEN,east indian
East Indian,east indee--uh-n,Guadeloupe,4500,Tamil,Christianity - Roman Catholicism,16.221,-61.522,1,Unengaged,Medium,Free,Moderate,High,Caution,A012,C0343,115802,Tamil Christian,GLP,GP,TD,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Diaspora,GLP,east indian
East Indian,east indee--uh-n,Martinique,7000,Tamil,Christianity - Roman Catholicism,14.612962,-61.082014,1,Unengaged,Medium,Free,Moderate,High,Caution,A012,C0343,115802,Tamil Christian,MTQ,MB,MY,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Diaspora,MTQ,east indian
East Kewa,east kewa,Papua New Guinea,94500,East Kewapi,Christianity - Evangelical Protestant,-6.32989,143.93088,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102820,East Kewa,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,PNG,east kewa
East Limba,east limba,Guinea,7200,East Limba,Ethnoreligion - Animism,10.03832,-11.73884,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A013,C0024,111211,"""Limba"," East""",GIN,GV,,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,GIN,east limba
Eastern Coastal Cree,eas-ter-n coa-sta-l cree,Canada,350,Northern East Cree,Christianity - Non-Evangelical Protestant,55.3081,-77.6664,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,102837,"""Cree"," Northern East""",CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CAN,eas-tern coa-stal cree
Eastern Keres Pueblo,eas-ter-n keres pue-blo,United States,9500,Eastern Keres,Christianity - Non-Evangelical Protestant,35.52158,-106.45285,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102847,"""Pueblo"," Eastern Keres""",USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,eas-tern keres pueblo
Ebughu,ebu-ghu,Nigeria,12000,Ebughu,Christianity - Non-Evangelical Protestant,4.703,8.267,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102868,Ebughu,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,ebughu
Ecuadorian,ecua-doree--uh-n,Canada,27000,Spanish,Christianity - Roman Catholicism,43.65948,-79.394407,5,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0168,102869,"""Ecuadorian"," Mestizo""",CAN,CA,,,,American Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CAN,ecuad-orian
Edawapi,eda-wapi,Papua New Guinea,13500,Namia,Christianity - Evangelical Protestant,-3.774351,141.77341,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102870,Edawapi,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,PNG,eda-wapi
