PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
"Chatino, Central",United States,2500,Spanish,Christianity - Roman Catholicism,36.032322,-78.826939,5,Unengaged,Little,Free,Moderate,High,Caution,A007,C0234,110759,"Chatino, Western Highland",USA,US,MX,,,American Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chatino, Eastern Highland",Mexico,4200,Spanish,Christianity - Folk Catholicism,16.233611,-97.136944,4,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,102040,"Chatino, Sierra Oriental",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,MEX
"Chatino, Tataltepec",Mexico,5200,Spanish,Christianity - Folk Catholicism,16.304167,-97.545833,4,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,109872,"Chatino, Tataltepec",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,MEX
Chaudangsi,India,1600,Chaudangsi,Buddhism - Tibetan,29.97979537,80.68812443,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A014,C0216,102045,Chaudangsi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Chavacano,Malaysia,1000,Chavacano,Christianity - Roman Catholicism,4.4767,118.597,6,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0070,101951,Chabakano Creole,MYS,MY,RP,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,MYS
Chayakkaran,India,41500,Tamil,Hinduism,8.087722,77.539131,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111855,Chayakkaran,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Chechen,Austria,30500,Chechen,Islam - Sunni,46.63333,14.308752,1,Unengaged,Little,Free,Moderate,High,Level 1: Exercise Normal Precautions,A003,C0061,102059,Chechen,AUT,AU,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,AUT
Chechen,Belgium,17500,Chechen,Islam - Sunni,50.8377,4.406,1,Unengaged,Little,Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A003,C0061,102059,Chechen,BEL,BE,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,BEL
Chechen,Germany,52500,Chechen,Islam - Sunni,52.42581,13.392418,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A003,C0061,102059,Chechen,DEU,GM,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"50,000+",Diaspora,DEU
Chechen,Jordan,7900,Chechen,Islam - Sunni,31.987,35.959,1,Unengaged,Medium,Not Free,High,High,Level 2: Exercise Increased Caution,A003,C0061,102059,Chechen,JOR,JO,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,JOR
Chechen,Kazakhstan,41500,Chechen,Islam - Sunni,43.3545,76.943,1,Unengaged,Low,Not Free,High,Moderate,Level 1: Exercise Normal Precautions,A003,C0061,102059,Chechen,KAZ,KZ,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,KAZ
Chechen,Kyrgyzstan,1700,Chechen,Islam - Sunni,42.879034,74.555156,1,Unengaged,Strenuous,Not Free,High,High,Level 1: Exercise Normal Precautions,A003,C0061,102059,Chechen,KGZ,KG,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,KGZ
Chechen,Uzbekistan,1800,Chechen,Islam - Sunni,42.494246,59.60537,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A003,C0061,102059,Chechen,UZB,UZ,RS,,,Central Asian Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,UZB
Cheintz,India,1300,Dogri,Hinduism,34.01855,74.81344,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111830,Cheintz,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Chengazhi Nambiar,India,700,Malayalam,Hinduism,10.527903,76.217672,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111776,Chengazhi Nambiyar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Chenna Dasar,India,64000,Kannada,Hinduism,16.175825,74.835376,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111746,Chenna Dasar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Chenoua,Algeria,105000,Chenoua,Islam - Sunni,36.59171,2.19899,0,Unengaged,Medium,Not Free,Very High,High,Level 2: Exercise Increased Caution,A001,C0046,102070,Chenoua,DZA,AG,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,DZA
Chepang,Nepal,65500,Chepang,Hinduism - Folk,27.696544,84.744204,5,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0311,102072,Chepang,NPL,NP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,NPL
Cherua,India,1000,Odia,Hinduism,19.585544,84.691414,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111779,Cherua,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Chesu,China,10000,Eastern Nisu,Ethnoreligion - Chinese Folk Religion,24.263865,101.821229,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114025,Chesu,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,CHN
Cheyenne,United States,13000,English,Christianity - Non-Evangelical Protestant,45.53206,-106.65888,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102083,Cheyenne,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,USA
Chheepi,India,10500,Hindi,Hinduism,26.750829,72.788027,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117784,Chheepi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Chickasaw,United States,32000,English,Christianity - Non-Evangelical Protestant,33.94523,-97.13012,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102109,Chikasaw,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,USA
Chidmar,Nepal,20000,Nepali,Hinduism,28.056097,81.628032,1,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0311,111749,Chidimar,NPL,NP,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,NPL
Chikunda,Mozambique,80000,Kunda,Ethnoreligion,-15.62012,30.44728,1,Unengaged,Extreme,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0266,105411,Chikunda (Kunda),MOZ,MZ,ZA,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"50,000+",Indigenous,MOZ
Chikunda,Zimbabwe,182000,Kunda,Ethnoreligion,-16.67361,30.6788,1,Unengaged,Strenuous,Not Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0266,105411,Chikunda (Kunda),ZWE,ZI,,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"100,000+",Indigenous,ZWE
Chilcotin,Canada,4800,Chilcotin,Christianity - Non-Evangelical Protestant,52.0152,-123.1754,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,102112,Chilcotin,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAN
Chilean,Canada,47500,Spanish,Christianity - Roman Catholicism,45.542176,-73.564454,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0093,102113,Chilean Mestizo,CAN,CA,,,,American Peoples,,2,No Longer Unreached,"10,000+",Diaspora,CAN
Chilean,United States,145000,Spanish,Christianity - Roman Catholicism,40.643219,-73.97413,5,Unengaged,Little,Free,Moderate,High,Caution,A007,C0093,102113,Chilean Mestizo,USA,US,CI,,,American Peoples,,2,No Longer Unreached,"100,000+",Diaspora,USA
"Chin, Falam",United States,30,Falam Chin,Christianity - Evangelical Protestant,33.9901,-81.0296,6,Unengaged,Little,Free,Moderate,High,Caution,A012,C0333,112190,Halam,USA,US,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chin, Haka",United States,150,Hakha Chin,Christianity - Evangelical Protestant,39.1173,-94.629,6,Unengaged,Little,Free,Moderate,High,Caution,A012,C0332,103648,Haka Chin,USA,US,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chin, Mara",United States,30,Mara Chin,Christianity - Evangelical Protestant,33.9705,-81.0275,6,Unengaged,Little,Free,Moderate,High,Caution,A012,C0332,106301,Mara Chin,USA,US,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chin, Senthang",United States,200,Senthang Chin,Ethnoreligion - Animism,32.8779,-96.7165,5,Unengaged,Little,Free,Moderate,High,Caution,A012,C0332,108847,"Chin, Senthang",USA,US,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chin, Tiddim",United States,30,Tedim Chin,Christianity - Evangelical Protestant,33.9887,-81.028,6,Unengaged,Little,Free,Moderate,High,Caution,A012,C0332,110040,Tiddim Chin,USA,US,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chin, Zomi",United States,225,Zo,Christianity - Evangelical Protestant,40.8257,-96.6851,6,Unengaged,Little,Free,Moderate,High,Caution,A012,C0332,113913,Zou (Zomi Chin),USA,US,,,,South Asian Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chinantec, Central",Mexico,21500,Spanish,Christianity - Folk Catholicism,17.776389,-96.3,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,107775,"Chinantec, Palantla",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,MEX
"Chinantec, Chiltepec",United States,550,Spanish,Christianity - Roman Catholicism,34.854265,-82.193115,5,Unengaged,Little,Free,Moderate,High,Caution,A007,C0234,102116,"Chinantec, Chiltepec",USA,US,MX,,,American Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
"Chinantec, Lealao",Mexico,3200,Spanish,Christianity - Folk Catholicism,17.337778,-95.976667,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,105687,"Chinantec, Lealao",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,MEX
"Chinantec, Ozumacin",Mexico,7100,Spanish,Christianity - Folk Catholicism,17.673611,-96.127778,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,100667,"Chinantec, Ozumacin",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,MEX
"Chinantec, Southeastern",Mexico,39000,Lalana Chinantec,Christianity - Folk Catholicism,17.67,-95.879722,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,105601,"Chinantec, Lalana",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,MEX
Chinook Wawa,Canada,125,English,Christianity - Non-Evangelical Protestant,49.37116,-123.22007,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,102148,Chinook Wawa,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAN
Chinook Wawa,United States,650,English,Christianity - Non-Evangelical Protestant,45.06,-123.6096,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102148,Chinook Wawa,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Chipewyan,Canada,13500,Dene,Christianity - Non-Evangelical Protestant,58.719,-111.146,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,102152,Dene,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,CAN
Chitari,India,48500,Marathi,Hinduism,16.132765,73.739336,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117785,Chitari,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Chobdar,India,33000,Hindi,Hinduism,27.215599,77.49015,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0297,111813,Chobdar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Chocholtec,Mexico,550,Spanish,Christianity - Folk Catholicism,17.661111,-97.333333,5,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0234,102176,Chocholtec,MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,MEX
Choctaw,United States,119000,English,Christianity - Non-Evangelical Protestant,33.89928,-94.81899,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102177,Choctaw,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,USA
Chol,United States,37500,Chol,Christianity - Roman Catholicism,37.754554,-122.413948,6,Unengaged,Little,Free,Moderate,High,Caution,A007,C0136,117159,Chol,USA,US,MX,,,American Peoples,,2,No Longer Unreached,"10,000+",Diaspora,USA
Chong,Thailand,700,Chong,Ethnoreligion - Animism,12.87518,102.16769,1,Unengaged,Medium,Partly Free,Moderate,High,Level 1: Exercise Normal Precautions,A011,C0147,102183,Chong,THA,TH,CB,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,THA
"Chontal, Tabasco",Mexico,84000,Spanish,Christianity - Folk Catholicism,18.135556,-92.861667,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,109673,"Chontal, Tabasco",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,MEX
Chopan,India,49000,Kashmiri,Islam - Sunni,34.15704,74.8897,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118726,Chopan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Christmas Island Deaf,Christmas Island,15,Undetermined,Unknown,-10.426,105.672,0,Unengaged,Medium,Free,Low,Moderate,Caution,A017,C0252,114916,Deaf,CXR,KT,,,,Deaf Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CXR
Chuanlan,China,408000,Mandarin Chinese,Ethnoreligion,26.452996,105.902136,4,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114027,Chuanlan,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,CHN
Chuj,Mexico,3800,Spanish,Christianity - Folk Catholicism,15.920964,-91.904623,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,108618,"Chuj, San Mateo Ixtatan",MEX,MX,GT,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,MEX
Chuka,Kenya,243000,Gichuka,Ethnoreligion - Animism,-0.3623,37.713,5,Unengaged,Strenuous,Partly Free,High,High,Level 2: Exercise Increased Caution,A013,C0268,102210,Chuka,KEN,KE,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,KEN
Chumash,United States,150,English,Christianity - Non-Evangelical Protestant,35.04668,-120.523121,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102215,Chumash,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Chunari,India,62500,Bengali,Hinduism,23.140979,87.134957,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,116132,Chunari,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Chungar,India,6000,Urdu,Islam - Sunni,28.01989,73.317553,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,111780,Changar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Churaute,Nepal,8100,Nepali,Islam - Sunni,26.66,86.89,1,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0321,111819,Churaute,NPL,NP,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,NPL
Chut,Laos,1500,Chut,Ethnoreligion - Animism,17.644386,105.760697,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,108497,Sach,LAO,LA,VM,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,LAO
Chut,Vietnam,6000,Chut,Ethnoreligion,17.74065,105.78465,0,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A011,C0147,108497,Sach,VNM,VM,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,VNM
Chuvash,Kazakhstan,15500,Chuvash,Christianity - Eastern Orthodox,51.232904,51.394673,1,Unengaged,Low,Not Free,High,Moderate,Level 1: Exercise Normal Precautions,A015,C0223,102226,Chuvash,KAZ,KZ,RS,,,European Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,KAZ
Chuvash,Tajikistan,5000,Chuvash,Christianity - Eastern Orthodox,38.579883,68.728809,1,Unengaged,Strenuous,Not Free,High,Low,Level 2: Exercise Increased Caution,A015,C0223,102226,Chuvash,TJK,TI,RS,,,European Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,TJK
Chuvash,Turkmenistan,4100,Chuvash,Christianity - Eastern Orthodox,41.884814,59.621983,1,Unengaged,Medium,Not Free,High,Low,Level 1: Exercise Normal Precautions,A015,C0223,102226,Chuvash,TKM,TX,RS,,,European Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,TKM
Chuvash,Uzbekistan,18000,Chuvash,Christianity - Eastern Orthodox,41.299016,69.240667,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A015,C0223,102226,Chuvash,UZB,UZ,RS,,,European Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,UZB
Ci,Benin,51500,Ci Gbe,Ethnoreligion,6.84217,2.02134,4,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,114558,Ci-Gbe,BEN,BN,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,BEN
Cinamiguin Manobo,Philippines,39500,Kinamiging Manobo,Christianity - Roman Catholicism,9.1793,124.72128,5,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,102231,"Manobo, Cinamiguin",PHL,RP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PHL
Cingatanmar,India,1200,Malayalam,Hinduism,11.873958,75.37075,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111842,Chingathanar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Cippollu,India,128000,Telugu,Hinduism,17.974439,79.919269,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117749,Chippollu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,IND
Cishinga,Zambia,97500,Bemba,Ethnoreligion,-9.8145,29.392,1,Unengaged,Strenuous,Partly Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A013,C0262,102235,Cishinga,ZMB,ZA,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,ZMB
Citrakar,India,18500,Bengali,Hinduism,20.950472,85.100703,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,111808,"Chitrakar, Hindu",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Citrakathi,India,700,Marathi,Hinduism,17.209353,73.334472,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118911,Chitrakathi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Coastal Kadazan,Malaysia,131000,Papar,Ethnoreligion,5.49,115.584,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,102242,Kadazan Dusun,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,MYS
Cocama-Cocamilla,Colombia,2200,Spanish,Ethnoreligion,-3.7601,-70.411,1,Unengaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0083,102247,Kokama,COL,CO,PE,,,American Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,COL
Cocopa,United States,800,Cocopa,Christianity - Non-Evangelical Protestant,32.60671,-114.71024,4,Unengaged,Little,Free,Moderate,High,Caution,A007,C0165,102250,Cocopah,USA,US,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,USA
Cocos Deaf,Cocos (Keeling) Islands,5,Undetermined,Islam - Folk,-12.119,96.895,0,Unengaged,Medium,Free,Low,Moderate,Caution,A017,C0252,114916,Deaf,CCK,CK,,,,Deaf Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CCK
Cocos Islander,Cocos (Keeling) Islands,550,Cocos Islands Malay,Islam - Sunni,-12.185468,96.831418,1,Unengaged,Medium,Free,Low,Moderate,Caution,A008,C0123,102252,"Malay, Cocos Islands",CCK,CK,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CCK
Coeur d'Alene,United States,100,English,Christianity - Non-Evangelical Protestant,47.29583,-116.71512,6,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102253,Coeur d'Alene,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Cofan,Colombia,1000,Cofán,Ethnoreligion - Animism,0.3095,-76.9685,4,Unengaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0201,102254,Cofan,COL,CO,EC,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,COL
Colla,Chile,3800,South Bolivian Quechua,Christianity - Folk Catholicism,-23.264,-67.446,5,Unengaged,Low,Free,Low,Low,Level 2: Exercise Increased Caution,A007,C0185,108239,"Quechua, Northwest Jujuy",CHL,CI,AR,,,American Peoples,,2,No Longer Unreached,"<10,000",Diaspora,CHL
Colombian,Canada,102000,Spanish,Christianity - Roman Catholicism,45.550881,-73.617598,5,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0093,116025,"Colombian, Mestizo",CAN,CA,,,,American Peoples,,2,No Longer Unreached,"100,000+",Diaspora,CAN
Colombian,Venezuela,192000,Spanish,Christianity - Folk Catholicism,10.470912,-66.705417,5,Unengaged,Medium,Not Free,Moderate,Low,Level 4: Do Not Travel,A007,C0093,116025,"Colombian, Mestizo",VEN,VE,CO,,,American Peoples,,2,No Longer Unreached,"100,000+",Diaspora,VEN
Columbia River Sahaptin,United States,175,English,Christianity - Non-Evangelical Protestant,45.63915,-118.55167,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102266,"Sahaptin, Columbia River",USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Columbia-Wenatchi,United States,750,English,Christianity - Non-Evangelical Protestant,48.21697,-118.45361,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102267,Columbia-Wenatchi,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Colville,United States,9300,English,Christianity - Non-Evangelical Protestant,48.29992,-119.18951,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,116302,Colville,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Comechingon,Argentina,37000,Spanish,Christianity - Folk Catholicism,-33.1135,-64.3445,4,Unengaged,Low,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0201,116317,Comechingon,ARG,AR,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,ARG
Comorian,Canada,45,Maore Comorian,Islam - Sunni,43.772376,-79.314964,1,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A013,C0275,115069,"Comorian, Maore",CAN,CA,MF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,CAN
Comorian,Eswatini,750,Ngazidja Comorian,Islam - Sunni,-26.287178,31.103785,4,Unengaged,Strenuous,Not Free,Moderate,Low,Level 2: Exercise Increased Caution,A013,C0275,115069,"Comorian, Maore",SWZ,WZ,MF,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"<10,000",Diaspora,SWZ
Comorian,Reunion,600,Maore Comorian,Islam - Sunni,-20.8903,55.4658,1,Unengaged,Medium,Free,Moderate,High,Caution,A013,C0275,115069,"Comorian, Maore",REU,RE,MF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,REU
Comorian Mwali,Comoros,40000,Mwali Comorian,Islam - Sunni,-12.282012,43.736983,1,Unengaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A013,C0275,115067,"Comorian, Mwali",COM,CN,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,COM
Comorian Nzwani,Comoros,380000,Ndzwani Comorian,Islam - Sunni,-12.198166,44.271734,1,Unengaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A013,C0275,115068,"Comorian, Ndzwani",COM,CN,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,COM
Comox,Canada,1300,English,Christianity - Non-Evangelical Protestant,49.6793,-124.9543,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,102277,Comox,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAN
Cong,Vietnam,2000,Côông,Ethnoreligion - Animism,22.298363,102.789892,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A014,C0229,108015,Phunoi,VNM,VM,LA,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Diaspora,VNM
Congolese,Uganda,25500,Lingala,Christianity - Neo-Pentecostalism,-0.030264,29.770138,5,Unengaged,Strenuous,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0258,105785,Lingala,UGA,UG,CF,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Diaspora,UGA
